ds,yhat,yhat_lower,yhat_upper
2020-01-31,196.167833671978,35.012608378757605,356.264012663698
2020-02-29,152.50819582870506,0.0,321.39096915306266
2020-03-31,187.40843689916932,14.201194710996312,338.1387999472003
2020-04-30,110.29754290716667,0.0,266.6838974249197
2020-05-31,39.754421770199755,0.0,199.35712534289786
2020-06-30,51.446356612467525,0.0,223.92415664454936
2020-07-31,44.7497136279064,0.0,202.8406646550249
2020-08-31,55.33051127484667,0.0,220.39217700037702
2020-09-30,60.024160701046796,0.0,216.21413417823823
2020-10-31,0.0,0.0,130.92635535235019
2020-11-30,197.5739273560105,24.41937474177522,361.3366439790477
2020-12-31,231.2008268011756,57.20336799341983,402.51022071808626
2021-01-31,177.9163063920994,25.957718164623692,335.66294127136956
2021-02-28,148.068729096862,5.173398823194047,304.16936852704913
2021-03-31,142.8499463232342,0.0,302.48122134643415
2021-04-30,98.0733826932335,0.0,269.7238774760471
2021-05-31,29.475558974794403,0.0,195.744254392593
2021-06-30,35.49147379070255,0.0,194.85810248410218
2021-07-31,26.382857473594186,0.0,183.74425440520167
2021-08-31,38.716385240501054,0.0,198.4242413093635
2021-09-30,44.84669527730903,0.0,211.42226586427265
2021-10-31,0.0,0.0,114.69419597766895
2021-11-30,171.03847473971354,10.816381733160176,329.9200057867824
2021-12-31,226.41971749525106,55.15973654960893,389.43939158746826
2022-01-31,160.48885226563522,0.0,324.7190337873288
2022-02-28,143.21591246671375,0.0,307.3574904734156
2022-03-31,98.16324313681633,0.0,260.3932524053785
2022-04-30,86.28884244286945,0.0,245.89431995145142
2022-05-31,19.288654960408728,0.0,187.7729119988017
2022-06-30,19.437067002962586,0.0,188.28886667211543
2022-07-31,7.962816364761942,0.0,164.84398824541617
2022-08-31,22.064902739337846,0.0,181.84460844270845
2022-09-30,29.495383383668596,0.0,189.23206019072015
2022-10-31,0.0,0.0,90.09098686534657
2022-11-30,144.7949542921206,0.0,303.9644415695512
2022-12-31,221.81314212850816,61.48444129594485,371.82861730920285
2023-01-31,143.03618092399776,0.0,316.6231473944803
2023-02-28,137.94290352775886,0.0,304.1417366541411
2023-03-31,53.37601883169631,0.0,216.10459836660266
2023-04-30,74.94283597058792,0.0,238.59421043913565
2023-05-31,9.18371564966435,0.0,174.57338134195012
2023-06-30,3.278804317067163,0.0,158.33906348183842
2023-07-31,0.0,0.0,157.76798978231392
2023-08-31,5.374035504975183,0.0,167.13625478086118
2023-09-30,13.970254154145614,0.0,164.12698966613866
2023-10-31,0.0,0.0,54.064384136675365
2023-11-30,118.84855002955018,0.0,293.4301424663035
2023-12-31,217.36574473090752,59.22808062258044,375.77727435589526
2024-01-31,125.54898137560623,0.0,294.4725198038263
2024-02-29,81.888999129478,0.0,254.39346864093338
2024-03-31,116.78887204516829,0.0,270.55277401400986
2024-04-30,39.67762176965255,0.0,206.93054754558284
2024-05-31,0.0,0.0,127.13344140323193
2024-06-30,0.0,0.0,147.82654025197758
2024-07-31,0.0,0.0,130.58978601295368
2024-08-31,0.0,0.0,148.8422602314018
2024-09-30,0.0,0.0,150.94809629462435
2024-10-31,0.0,0.0,65.8878944944968
2024-11-30,126.9514646552007,0.0,289.40324035266576
2024-12-31,160.5779959257963,8.80369849039982,325.6915785033936
2025-01-31,107.29310733800233,0.0,277.97495255983193
2025-02-28,77.44519749418541,0.0,239.83492464523096
2025-03-31,72.22604654106723,0.0,228.6505446813714
2025-04-30,27.44912660847677,0.0,185.84563308627602
2025-05-31,0.0,0.0,125.67612194241579
2025-06-30,0.0,0.0,135.11334769690083
2025-07-31,0.0,0.0,111.27051434656472
2025-08-31,0.0,0.0,135.73862031793672
2025-09-30,0.0,0.0,127.02509463878377
2025-10-31,0.0,0.0,40.77150662445829
2025-11-30,100.4116770452903,0.0,273.8851896946932
2025-12-31,155.79255163160033,0.0,332.833205089669
2026-01-31,89.86131823254529,0.0,244.8781646321102
2026-02-28,72.58804589814903,0.0,226.36077571345973
2026-03-31,27.53500840410662,0.0,189.716689258528
2026-04-30,15.660251425294561,0.0,181.3283321887258
2026-05-31,0.0,0.0,109.20364194438457
2026-06-30,0.0,0.0,118.62417675845413
2026-07-31,0.0,0.0,95.74870941418239
2026-08-31,0.0,0.0,110.88686727544614
2026-09-30,0.0,0.0,120.50696642737957
2026-10-31,0.0,0.0,13.625208454196924
2026-11-30,74.16382180248607,0.0,242.4259177355221
2026-12-31,151.18164148311257,8.284282545100885,317.3239053368294
2027-01-31,72.40431212635063,0.0,238.54291738987936
2027-02-28,67.31070220548597,0.0,243.47876154823447
2027-03-31,0.0,0.0,146.7361030488898
2027-04-30,4.30991022410552,0.0,170.87403145770705
2027-05-31,0.0,0.0,97.41213260413288
2027-06-30,0.0,0.0,85.3208588362928
2027-07-31,0.0,0.0,89.3490025543359
2027-08-31,0.0,0.0,101.96054393060783
2027-09-30,0.0,0.0,114.02709368574669
2027-10-31,0.0,0.0,0.0
