ds,yhat,yhat_lower,yhat_upper
2020-01-31,196.167833671978,31.33342685399011,359.6920826438637
2020-02-29,152.50819582870506,0.0,307.1391132726469
2020-03-31,187.40843689916932,30.892291281594783,359.3694595464661
2020-04-30,110.29754290716667,0.0,279.7316402479123
2020-05-31,39.754421770199755,0.0,205.28364605877022
2020-06-30,51.446356612467525,0.0,210.26451550719705
2020-07-31,44.7497136279064,0.0,207.2161886777638
2020-08-31,55.33051127484667,0.0,225.56854028286946
2020-09-30,60.024160701046796,0.0,222.94765242792494
2020-10-31,0.0,0.0,137.15522282627836
2020-11-30,197.5739273560105,49.17418899888815,367.5274366724104
2020-12-31,231.2008268011756,52.09464020474242,390.3393321293233
2021-01-31,177.9163063920994,24.46686827074152,348.2915357472791
2021-02-28,148.068729096862,0.0,316.3051580788566
2021-03-31,142.8499463232342,0.0,298.4438542641741
2021-04-30,98.0733826932335,0.0,252.87908395824144
2021-05-31,29.475558974794403,0.0,197.55524078117816
2021-06-30,35.49147379070255,0.0,188.72855715805622
2021-07-31,26.382857473594186,0.0,186.5453909186335
2021-08-31,38.716385240501054,0.0,209.2574577617579
2021-09-30,44.84669527730903,0.0,211.2386939738903
2021-10-31,0.0,0.0,102.97970056254704
2021-11-30,171.03847473971354,3.8001392466387136,340.37847233150075
2021-12-31,226.41971749525106,61.19945765768855,384.2730705729325
2022-01-31,160.48885226563522,0.0,304.87302798239773
2022-02-28,143.21591246671375,0.0,309.4894406866921
2022-03-31,98.16324313681633,0.0,261.5393697429952
2022-04-30,86.28884244286945,0.0,239.34412683063306
2022-05-31,19.288654960408728,0.0,185.8771400351424
2022-06-30,19.437067002962586,0.0,192.27793557890058
2022-07-31,7.962816364761942,0.0,163.9234946637081
2022-08-31,22.064902739337846,0.0,190.82015294726207
2022-09-30,29.495383383668596,0.0,187.31760180761822
2022-10-31,0.0,0.0,79.78140852596773
2022-11-30,144.7949542921206,0.0,302.52948925643096
2022-12-31,221.81314212850816,71.14693813737,394.2515083199813
2023-01-31,143.03618092399776,0.0,297.0185465275905
2023-02-28,137.94290352775886,0.0,298.11580446489614
2023-03-31,53.37601883169631,0.0,222.94605769007248
2023-04-30,74.94283597058792,0.0,241.5058985280543
2023-05-31,9.18371564966435,0.0,174.1232332099145
2023-06-30,3.278804317067163,0.0,172.42136975282327
2023-07-31,0.0,0.0,151.25847112240598
2023-08-31,5.374035504975183,0.0,173.58990651546995
2023-09-30,13.970254154145614,0.0,174.45960638199162
2023-10-31,0.0,0.0,50.001093588632195
2023-11-30,118.84855002955018,0.0,270.71635487768805
2023-12-31,217.36574473090752,61.24043562616443,383.324201871248
2024-01-31,125.54898137560623,0.0,290.25980161311907
2024-02-29,81.888999129478,0.0,238.4766469703631
2024-03-31,116.78887204516829,0.0,273.7944013165627
2024-04-30,39.67762176965255,0.0,203.92870424391188
2024-05-31,0.0,0.0,141.68761127608505
2024-06-30,0.0,0.0,150.25633541457594
2024-07-31,0.0,0.0,139.86390756025912
2024-08-31,0.0,0.0,150.86505657668113
2024-09-30,0.0,0.0,150.33277580649013
2024-10-31,0.0,0.0,67.55349298886364
2024-11-30,126.9514646552007,0.0,295.6199967238413
2024-12-31,160.5779959257963,0.0,315.34705169405987
2025-01-31,107.29310733800233,0.0,269.25189719208214
2025-02-28,77.44519749418541,0.0,227.2390181793321
2025-03-31,72.22604654106723,0.0,235.97208889931505
2025-04-30,27.44912660847677,0.0,187.87473066581296
2025-05-31,0.0,0.0,109.58510096848252
2025-06-30,0.0,0.0,107.94196622117177
2025-07-31,0.0,0.0,116.44517248770751
2025-08-31,0.0,0.0,125.92604826005999
2025-09-30,0.0,0.0,126.90359628225262
2025-10-31,0.0,0.0,27.605476359177125
2025-11-30,100.4116770452903,0.0,256.987258678816
2025-12-31,155.79255163160033,0.0,313.06050717663965
2026-01-31,89.86131823254529,0.0,250.89484483107162
2026-02-28,72.58804589814903,0.0,239.07932057049473
2026-03-31,27.53500840410662,0.0,194.55016167623558
2026-04-30,15.660251425294561,0.0,168.21463907694266
2026-05-31,0.0,0.0,109.20661495104314
2026-06-30,0.0,0.0,109.76895848669402
2026-07-31,0.0,0.0,109.16522643084855
2026-08-31,0.0,0.0,118.34043341829802
2026-09-30,0.0,0.0,105.98374694987028
2026-10-31,0.0,0.0,13.471434974484064
2026-11-30,74.16382180248607,0.0,238.32793011505683
2026-12-31,151.18164148311257,0.0,321.60952891811036
2027-01-31,72.40431212635063,0.0,240.1326649814943
2027-02-28,67.31070220548597,0.0,232.6747275766933
2027-03-31,0.0,0.0,133.55645325438826
2027-04-30,4.30991022410552,0.0,167.05906803421863
2027-05-31,0.0,0.0,107.59655748842464
2027-06-30,0.0,0.0,103.18540734129473
2027-07-31,0.0,0.0,90.93263683228638
2027-08-31,0.0,0.0,81.24539427939565
2027-09-30,0.0,0.0,100.10831922323958
2027-10-31,0.0,0.0,0.0
