ano,mes,previsao
2026,jan,0.6633500000000003
2026,feb,0.7027066666666677
2026,mar,0.6751366666666669
2026,apr,0.8116933333333378
2026,may,0.6545933333333309
2026,jun,0.6041933333333276
2026,jul,0.795983333333325
2026,ago,0.762123333333335
2026,set,0.8229966666666684
2026,nov,0.5516499999999986
2026,dez,0.5167799999999971
2027,jan,0.6644785714285715
2027,feb,0.6927895238095232
2027,mar,0.6613423809523802
2027,apr,0.8329819047619083
2027,may,0.6285247619047638
2027,jun,0.565103333333326
2027,jul,0.8317476190476043
2027,ago,0.7978133333333375
2027,set,0.8745766666666697
2027,nov,0.542544999999997
2027,dez,0.462600000000009
